文献ID,中文题名,英文题名,期刊,年份,方法工具,公开代码URL数
LIT-022,免疫细胞与肾脏细胞的时空相互作用调控自身免疫性肾病中的肾小球新月体形成,Spatiotemporal interaction of immune and renal cells controls glomerular crescent formation in autoimmune kidney disease,Nat. Immunol.,2025,Baysor;Cellpose;Scanpy;scikit-learn;NichePCA;CellChat;diffusion pseudotime;K-means;GSVA;VALIS;Cell Ranger;FIJI;Wilcoxon,1
LIT-023,基于图像的肿瘤细胞轨迹推断使大规模癌症进展分析成为可能,Image-based inference of tumor cell trajectories enables large-scale cancer progression analysis,Sci. Adv.,2025,Phikon;Phikon-V2;ResNet;Scanpy;Squidpy;PAGA;diffusion pseudotime;Leiden;Louvain;GPTCelltype;fgsea;Wilcoxon;Kruskal-Wallis;lifelines;scikit-image;PyTorch;I-Viewer,1
LIT-024,利用空间转录组学分析骨髓穿刺活检中多发性骨髓瘤的空间结构,Profiling the spatial architecture of multiple myeloma in human bone marrow trephine biopsy specimens with spatial transcriptomics,Blood,2025,Seurat;SingleR;edgeR;scider;FICTURE;Xenium Explorer;quasi-binomial F test;χ2 test;ANOVA,0
LIT-025,空间转录组学揭示肺纤维化远端肺重塑中的分子微环境失调,Spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,Nat. Genet.,2025,Seurat;Scanpy;GraphSAGE;Gaussian mixture model;Leiden;k-means;propeller;limma;tradeSeq;mgcv;kernlab;QuPath;BigWarp;Xenium Explorer;scikit-image;RAPIDS;Space Ranger,1
LIT-026,结直肠癌免疫细胞群的高清晰度空间转录组学分析,High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer,Nat. Genet.,2025,Seurat;RCTD;StarDist;LIANA;QuPath;Xenium Onboard Analysis;Space Ranger;Cell Ranger;Loupe Browser,1
LIT-027,使用Xenium平台对人类骨骼肌进行原位空间转录组分析,In situ spatial transcriptomic analysis of human skeletal muscle using the Xenium platform,Cell Tissue Res,2025,Xenium Onboard Analysis;Xenium Explorer;Multimodal Tissue Segmentation Kit;Mann-Whitney U;Fisher's exact test;PANTHER GO;GraphPad Prism;SPSS;SR Plot;Ellipse,0
LIT-028,基于成像的空间转录组学数据集的评估和可重复性标准化度量,Standardized metrics for assessment and reproducibility of imaging-based spatial transcriptomics datasets,Nat Biotechnol,2025,Seurat;Banksy;RCTD;InSituType;Scanpy;rapids_singlecell;MaxFuse;scDblFinder;Cell Ranger;SpatialQM;Xenium Onboard Analysis;AtoMx;Moran's I;Leiden;PCA;UMAP,1
LIT-029,抗原呈递癌症相关成纤维细胞微环境的单细胞分辨率空间分析,Single-cell resolution spatial analysis of antigen-presenting cancer-associated fibroblast niches,bioRxiv,2024,Seurat;Harmony;DoubletFinder;Cell Ranger;RCTD;BuildNicheAssay;Monocle3;pySCENIC;CellPhoneDB;AUCell;CytoTRACE;SpatialDecon;limma;CellProfiler;histoCAT;Xenium Explorer;GeoMx DSP Data Analysis Suite;GSEA;Metascape;WebCSEA;GEPIA2;GraphPad Prism;SAS,0
LIT-030,不同滤泡T细胞亚群调控淋巴瘤进展和预后,Distinct follicular T cell subsets regulate lymphoma progression and outcomes,Cancer Cell,2025,Seurat;Seurat label transfer;Cell Ranger;scRepertoire;Monocle;scVelo;velocyto;CellPhoneDB;CellChat;MAST;QuPath;StarDist;CytoMAP;SPIAT;imcRtools;ks;scGSVA;survminer;pheatmap;Metascape;Xenium Onboard Analysis;Xenium Explorer;FlowJo;Ingenuity Pathway Analysis;GraphPad Prism,0
LIT-031,人鼠肺腺癌前体的空间多组学分析揭示TIM-3是癌前干预的潜在靶点,Spatial and multiomics analysis of human and mouse lung adenocarcinoma precursors reveals TIM-3 as a putative target for precancer interception,Cancer Cell,2025,Seurat;Seurat label transfer;Monocle;CellChat;Scanpy;Cell Ranger;DeepCell/Mesmer;CATALYST;steinbock;imcRtools;SpatialExperiment;Cytomapper;scikit-image;MATLAB;ImageScope;GraphPad Prism;Delaunay triangulation,1
LIT-032,多模态空间组学揭示肺前体病变进展中肺泡祖细胞与促炎微环境的共进化,Multimodal spatial-omics reveal co-evolution of alveolar progenitors and proinflammatory niches in progression of lung precursor lesions,Cancer Cell,2026,Seurat;Harmony;Monocle 3;CytoTRACE;SpatialInferCNV;iStar;RCTD;CytoSignal;COMMOT;NMF;GSVA;Scrublet;Cell Ranger;Space Ranger;Loupe Browser;Xenium Explorer;QuPath;Kruskal-Wallis;Wilcoxon;t-test,1
LIT-033,食管癌多阶段癌变的单细胞空间进化图谱,Single-cell multi-stage spatial evolutional map of esophageal carcinogenesis,Cancer Cell,2025,Seurat;scVI-tools;CellChat;CellPhoneDB;LIANA;GSVA;Random Forest;Xenium Ranger;kmeans;LASSO Cox;ImageJ;Kruskal-Wallis;Wilcoxon;t-test;Mann-Kendall,1
LIT-034,HER2阳性乳腺癌新辅助治疗中ADC药物SHR-A1811疗效的空间决定因素,Spatial determinants of antibody-drug conjugate SHR-A1811 efficacy in neoadjuvant treatment for HER2-positive breast cancer,Cancer Cell,2025,sc-MTOP;D-PathAI;HoVer-Net;QuPath;Seurat;Giotto;Scanpy;COSG;xCell;DESeq2;limma;clusterProfiler;GSEA;CNVkit;GISTIC 2.0;scikit-learn;SHAP,1
LIT-035,组织驻留记忆CD8 T细胞多样性的时空印记,Tissue-resident memory CD8 T cell diversity is spatiotemporally imprinted,Nature,2025,Scanpy;scVI-tools;CellChat;Squidpy;scVelo;NicheNet;CellTypist;Geneformer;Cellpose;Baysor;gimVI;UCell;PERSIST;QuPath;Spearman;Kolmogorov-Smirnov;ANOVA;t-test,1
LIT-036,小鼠胚胎腭单细胞空间转录组学揭示Pax9与细胞外基质模式和组织的关联,Single Cell Spatial Transcriptomics of the Murine Embryonic Palate Links Pax9 to Patterning and Organization of Extracellular Matrix Components,Research Square(预印本),2025,Seurat;StarDist;MAST;clusterProfiler;Xenium Explorer;t-test,1
LIT-037,单细胞TCR作图揭示头颈癌中空间协同的T细胞状态,Single-cell TCR mapping reveals spatially coordinated T cell states in head and neck cancer,Science Immunology,2026,Seurat;CellChat;FlowSOM;MiXCR;DBSCAN;Moran's I;random forest(ranger);Xenium Explorer;GSEA;Spearman;Pearson;Kruskal-Wallis;ANOVA;t-test,0
LIT-038,肌层浸润性膀胱癌的空间图谱揭示谱系特异性脆弱性与免疫架构,A Spatial Atlas of Muscle-Invasive Bladder Cancer Reveals Lineage-Specific Vulnerabilities and Immune Architecture,Cancer Discovery (AACR，accepted manuscript，每页页脚水印 aacrjournals.org/cancerdiscovery),2026,Seurat;RCTD;inferCNV;CytoTRACE;Monocle;BASE47;iSTAR-TLS;GSEA;Loupe Browser;Bliss independence,1
LIT-039,空间生物学揭示免疫抑制性非黑色素瘤皮肤癌中巨噬细胞状态的改变,Spatial biology reveals altered macrophage states in immunosuppressed non-melanoma skin cancer,Cell,2026,Seurat;Harmony;CellTypist;DoubletFinder;scRepertoire;Cell Ranger;Cell Ranger ATAC;Xenium Onboard Analysis;Xenium Explorer;stLearn;ArchR;chromVAR;MACS2;IPA;inForm;AtlasXBrowser,2
LIT-040,绘制人小肠与类器官中的间充质多样性图谱,Mapping mesenchymal diversity in the human small intestine and organoids,Nature Cell Biology,2026,Seurat;Cell Ranger;Xenium Ranger;Xenium Explorer;Slingshot;CytoSPACE;CellChat;Wilcoxon,1
LIT-041,小鼠胚胎从 2 细胞阶段到出生的发育年表,Developmental chronology of mouse embryo from 2-cell stage through birth,Nature Cell Biology,2026,Scanpy;Scrublet;STAR;Harmony;scVelo;LIANA+;Palantir;moscot;Slingshot;Monocle;pySCENIC;ClusterProfiler,2
LIT-042,空间多组学揭示新辅助治疗后三级淋巴结构中 Tpex 与 B 细胞的相互作用,Spatial multi-omics implicate the interaction between Tpex and B cells in tertiary lymphoid structures after neoadjuvant therapy,Cancer Discovery (AACR，accepted manuscript，每页页脚水印 aacrjournals.org/cancerdiscovery),2026,Seurat;Harmony;SPOTlight;Scanpy;ClusterProfiler;GSVA;MCP-counter;Space Ranger;Xenium Ranger;QuPath;HALO;MiXCR;STAR;Ilastik;CellProfiler;imcRtools;histoCAT;Limma,0
LIT-043,心脏结节病炎症和自身免疫信号的综合分子分析,Integrative Molecular Analyses of Inflammatory and Autoimmune Signals in Cardiac Sarcoidosis,Circulation,2026,Seurat;Harmony;TRUST4;edgeR;clusterProfiler;Wilcoxon,1
LIT-044,CD4+ T 细胞通过 IL-3 和 TNF 依赖性血管损伤损害肿瘤生长,CD4+ T cells impair tumor growth through IL-3 and TNF-dependent vascular damage,Science,2026,Seurat;SingleR;CellRanger;SpaceRanger;DoubletFinder;Imaris;DESeq2;GSEA;Wilcoxon;t-test;ANOVA;dbscan;RANN;FlowJo,0
LIT-045,三维度解析幕上室管膜瘤异质性全景图谱,Multidimensional profiling of heterogeneity in supratentorial ependymomas,Nature,2026,Seurat;Seurat label transfer;SingleR;inferCNV;CellCharter;scVI-tools;NMF;UCell;pagoda2;edgeR;clusterProfiler;Speckle(propeller);limma;minfi;hisat2;RSEM;Xenium Explorer;ImageJ/Fiji;FlowJo;Wilcoxon;t-test;线性回归,1
LIT-046,三阴性乳腺癌在化疗反应中的空间生态型,Ecotypes of triple-negative breast cancer in response to chemotherapy,Nature,2026,Seurat;Seurat label transfer;copyKAT;RCTD;CellChat;DESeq2;Xenium Onboard Analysis;CellRanger;SpaceRanger;AUCell;CellTrek;ConsensusClusterPlus;igraph;GSVA;caret;pROC;clustree;limma;RcppML(NMF);Wilcoxon;Cox回归,1
LIT-047,利用空间生态型对肿瘤微环境进行无创分析,Non-invasive profiling of the tumour microenvironment with spatial ecotypes,Nature,2026,Spatial EcoTyper;Liquid EcoTyper;CytoSPACE;Seurat;SNF(SNFtool);NMF;presto;clusterProfiler;fgsea;Moran's I;Stouffer合并;metafor;ESTIMATE;sva(Combat);PyTorch;ppcor;survival;samtools;Wilcoxon;t-test;Cox回归,1
LIT-048,糖尿病肾病的空间图谱揭示了一个B细胞丰富的亚群,Spatial atlas of diabetic kidney disease reveals a B cell-rich subgroup,Nature,2026,scVI-tools(scVI+scANVI);Scanpy;Squidpy;COVET;NicheCompass;Hotspot;CellPhoneDB;GSEApy;DESeq2;limma;tidymodels(elastic-net);SMOTE;MiniBatchKMeans;Ward聚类;spatialdata;IMC(Hyperion);STAR;RSEM;Wilcoxon;Welch t-test;Mann-Whitney U;log-rank;Pearson,1
LIT-049,肝细胞癌中GPC3特异性dnTGFβRII装甲CAR T细胞,GPC3-specific dnTGFβRII-armoured CAR T cells for hepatocellular carcinoma,Nature,2026,Seurat;Xenium Explorer;AUCell;GSEA;clusterProfiler;MSigDB;GeomxTools;TCellSI;ImageJ;FlowJo;GraphPad Prism;SAS;Phoenix WinNonlin;Kaplan-Meier;log-rank;t-test;Mann-Whitney U;ANOVA;超几何检验,0
LIT-050,阿尔茨海默氏病的细胞类型特征在不同人群中共有,Cell-type signatures of Alzheimer’s disease shared across population groups,Nature,2026,Seurat;Signac;CellRanger ARC;CellBender;popscle(freemuxlet);scHPF;WGCNA;ANCOM-BC;LINDA;sccomp;quasibinomial logistic regression(自实现);metafor;RCTD;DESeq2;edgeR;topGO;rrvrgo;fgsea;XSTREME(MEME Suite);Xenium Onboard Analysis;Xenium Ranger;MapMyCells;Azimuth;PLINK;ADMIXTURE;gatepoints,0
LIT-051,胰腺导管腺癌的单细胞空间转录谱揭示了关键的免疫调节和促转移机制,Single-cell spatial transcriptional profiling of pancreatic ductal adenocarcinoma uncovers key immune-modulating and pro-metastatic mechanisms,Cancer Letters,2026,Seurat;Scanpy;CellCharter;SCOTIA;CellChat;Monocle3;DoubletFinder;BBKNN;Harmony;clusterProfiler;GSEA;GSVA;CancerSEA;Moran's I;Wilcoxon;DBSCAN;Xenium Analyzer;Xenium Explorer,0
LIT-052,心室辅助装置减负荷可逆转单心室疾病中的微血管衰老,Ventricular assist device unloading reverses microvascular senescence in single ventricle disease,Nature Cardiovascular Research,2026,CellRanger;SpaceRanger;CellBender;Scrublet;scVI-tools(scVI+scANVI);Seurat;SCCAF;Milo;DESeq2;velocyto.R;scVelo;PAGA;CellChat;Cell2location;Squidpy;clusterProfiler;Nebulosa;Xenium Ranger;Xenium Explorer;ImageJ2,1
LIT-053,福尔马林固定石蜡包埋活检组织的单细胞空间转录组学揭示结肠炎相关细胞网络,"Single-cell spatial transcriptomics of formalin-fixed, paraffin-embedded biopsies reveals colitis-associated cell networks",JCI(据文件名标注;正文未印期刊名),2026,Scanpy;Squidpy;anndata;CellCharter;Harmony;Leiden;DESeq2;GSEA;fgsea;ComplexHeatmap;CELLxGENE;GraphPad PRISM;Mann-Whitney;Kruskal-Wallis,1
LIT-054,空间架构导致膀胱癌整体生物标志物指导的新辅助免疫疗法选择失败:DUTRENEO研究,Spatial architecture contributes to failure of bulk biomarker-guided neoadjuvant immunotherapy selection in bladder cancer: The DUTRENEO study,Cell Reports Medicine,2026,Seurat;SingleR;dbscan(frNN);ClusterR(MiniBatchKmeans);k-means;glmnet(LASSO);pROC;DESeq2;Xenium Analyzer;Varca;GATK;Mutect2;BWA;vcf2maf;maftools;STAR;UMI-tools;featureCounts;ComplexHeatmap;pheatmap;ggraph;igraph;NIS-Elements,1
LIT-055,纤维蛋白生态位中的SPP1高表达巨噬细胞促进类风湿关节炎滑膜的增生性组织重塑,SPP1hi macrophages in fibrin niches promote hyperplastic tissue remodeling in rheumatoid arthritis synovium,Science Translational Medicine,2026,Baysor;SingleR;CLQ;Niche-DE;WGCNA;Seurat;DoubletFinder;Symphony;QuPath;clusterProfiler;ReactomePA;FlowJo;GraphPad Prism;R;Wilcoxon;t-test;ANOVA,1
LIT-056,胰腺癌的空间解析组织结构与计算病理学,Spatially resolved tissue architecture and computational pathology in pancreatic cancer,Experimental & Molecular Medicine,2026,未自行分析(综述讨论:多实例学习MIL;弱监督深度学习;病理基础模型;对比学习多模态对齐;PacPaint;Pix2Path;HEST-1k;H&Enium;Deep Visual Proteomics),0
LIT-057,NK-T细胞淋巴瘤的单细胞分析揭示了分层免疫特征和潜在的治疗意义,Single-cell profiling of natural killer/T-cell lymphoma reveals stratified immune features and potential therapeutic implications,Nature Communications,2026,Seurat;Cell Ranger;DoubletFinder;Harmony;inferCNV;NMF;SCENIC;AUCell;GSVA;clusterProfiler;limma;Monocle;velocyto;scRepertoire;LIANA;CellPhoneDB;Scanpy;Squidpy;spatialdata;CIBERSORT;fgsea;HISAT2;StringTie;MetaboAnalyst;Spectronaut;FlowJo;GraphPad Prism;survival;log-rank;Wilcoxon;t-test;ANOVA;Cox;Fisher检验,1
LIT-058,空间细胞秩序是口咽癌局部免疫抵抗机制的基础,Spatial cellular order underlies locally-confined mechanisms of immune resistance in oropharyngeal cancer,Nature Communications,2026,Seurat;Cell Ranger;scds;Harmony;SingleR;CellChat;caTools;ComplexHeatmap;tidyverse;ggplot2;clusterProfiler;AddModuleScore;Xenium Onboard Analysis;HALO;Vectra Polaris;xCELLigence;FlowJo;GraphPad Prism;survival;survminer;Wilcoxon;t-test;ANOVA;Fisher检验;log-rank,0
LIT-059,空间转录组学鉴定与成人皮肌炎癌症相关的免疫基质生态位,Spatial transcriptomics identifies immune-stromal niches associated with cancer in adult dermatomyositis,Nature Communications,2026,Seurat;Cell Ranger;bcl2fastq;scDblFinder;SoupX;Harmony;Leiden;presto;sccomp;hoodscanR;MOFAcellulaR;dbscan;labdsv;MAST;edgeR;SPIAT;crawdad;InSituCor;Cellpose;SPACEc;decoupleR;UCell;PROGENy;TMM;k-means;Wilcoxon;Kruskal-Wallis;t-test;qPCR,0
LIT-060,空间转录组分析突出了小鼠和人类中不同的红细胞生态位,Spatial transcriptomic analyses highlight distinct erythroid niches in mice and humans,Nat. Genet.,2026,Giotto; Seurat; Harmony; scran; Space Ranger; PAGE; Imaris; ImageJ,2
LIT-061,单细胞+Xenium空间转录组揭示前列腺组织驻留记忆CD8+T细胞的分化与异质性,Distinct tissue niches contribute to prostate tissue-resident memory CD8+ T cell differentiation and heterogeneity,Immunity,2026,Scanpy; scVI-tools; Muon; UCell; MAGIC; Cellpose; Baysor; Squidpy; PERSIST; Cell Ranger; STAR; featureCounts; DESeq2; GSVA; limma; labelme; InstanSeg; Orion (RareCyte),2
LIT-062,HIF-1α+ CD4+ T细胞在肺部协调组织驻留免疫细胞网络,HIF-1α+ CD4+ T cells coordinate a tissue-resident immune cell network in the lung,Immunity,2026,STARsolo; SingleR; scran; scater; scuttle; bluster; DropletUtils; edgeR; limma; pySCENIC; UCell; QuPath; StarDist; Cellpose; Proseg; Xenium Explorer,0
LIT-063,NF-κB激活的成纤维细胞调控炎症性衰老及促炎性颗粒酶K+ T细胞的产生,NF-κB-activated fibroblasts orchestrate inflammaging and emergence of pro-inflammatory granzyme K+ T cells,Immunity,2026,Seurat;CellRanger;DoubletFinder;Harmony;SingleR;dbscan;Monocle;DESeq2;STAR;featureCounts;FastQC;Trim Galore;Galaxy;Ingenuity Pathway Analysis;Xenium Explorer;ImageJ2(FIJI);Imaris;FlowJo;GraphPad Prism,0
LIT-064,失调的hepcidin-铁轴损害抗病毒免疫并诱导新生儿致死性肝病变（文件名译名：新生儿轮状病毒感染中异常铁代谢导致肝损伤的机制）,A dysregulated hepcidin-iron axis impairs antiviral immunity and induces lethal liver pathology in neonates,Immunity,2026,Xenium Ranger;Seurat;CellRanger;RCTD;MAST;MAGIC;Metascape;ggpubr;ImageJ;FlowJo;GraphPad Prism;Statsmodels;Poisson回归(自实现),1
LIT-065,空间解析的转录组与蛋白质组分析揭示预测巴雷特食管进展的细胞互作程序,Spatially resolved transcriptomic and proteomic profiling reveals cell interaction programs that predict Barrett's esophagus progression,bioRxiv(预印本),2026,Seurat;Scimap;Squidpy;GraphCompass;scikit-learn;SHAP;SciPy;Phenograph;RAPIDS/CuPy;histoCAT;scanpy;VSURF;Xenium Explorer;Vsearch;Decombinator;Immunarch;VDJtools;Kruskal-Wallis;卡方检验,0
LIT-066,基质细胞状态的表观遗传调控支撑克罗恩病的病理组织生态位（文件名译名：克罗恩病病理微环境通过表观遗传调控塑造炎症性成纤维细胞稳定状态并赋予其药物可干预性）,Epigenetic modulation of stromal cell states underpins pathological tissue niches in Crohn's disease,Nat Immunology,2026,CellTypist;CellCharter;scVI-tools;Scanpy;Squidpy;Seurat;Harmony;CatsCradle;ArchR;MACS2;BBKNN;Scrublet;MultiMAP;SEACells;SCENIC+;pycistopic;pycistarget;GRNBoost2;AUCell;cNMF;scVelo;PAGA;scFates;CytoTRACE;DESeq2;edgeR;csaw;ChIPseeker;Cell Ranger;Kallisto;phenoptr;SCP;PANTHER,1
