文献IDs,主分类初判,owner,repo,URL,验证状态,HTTP,精选级,克隆状态,锁定SHA,默认分支,LICENSE,主语言,体积MB,运行入口,备注
LIT-025,P3,Banovich-Lab,Spatial_PF,https://github.com/Banovich-Lab/Spatial_PF,✅可访问,200,A,已克隆,99da8d1954e0c2680f0b87a672ac5eda9f438178,,无LICENSE(仅可学习不可转载),Rx7/Pythonx3/Shellx1,1.1,,"档案卡批次3建议P6->P3(生态位+邻近计算),终审可推翻"
LIT-026,P8,10XGenomics,HumanColonCancer_VisiumHD,https://github.com/10XGenomics/HumanColonCancer_VisiumHD,✅可访问,200,A,已克隆,df5801cf5e681b33b5026626989a7635fdf26b99,,MIT,Rx18/Pythonx1,202.1,,
LIT-028,P0,Center-for-Spatial-OMICs,SpatialQM,https://github.com/Center-for-Spatial-OMICs/SpatialQM,✅可访问,200,S,已克隆,36e1a59d4ca3f8f360a1d826f5e999d9f40c6760,,自定义LICENSE(需人工核),Rx13,6.4,,
LIT-031,P8,WuLabMDA,LungIMC,https://github.com/WuLabMDA/LungIMC,✅可访问,200,A,已克隆,be35039a579cb658b8a247450f61c5626d8dd886,,BSD,Rx189/Pythonx125/MATLABx26,1.3,,
LIT-032,P8,FuduanPeng,LungPCA_Code,https://github.com/FuduanPeng/LungPCA_Code,✅可访问,200,A,已克隆,fba87dbee8dbae497b15b81a4b0fa79edccd17b2,,无LICENSE(仅可学习不可转载),Rx7/Pythonx6,0.1,,
LIT-033,P8,PansccSpat,SpatialMapESCC,https://github.com/PansccSpat/SpatialMapESCC,✅可访问,200,B,已克隆,1f34e3eaa95e60465622705a4225231f3e3aed05,,无LICENSE(仅可学习不可转载),Rx15,0.3,,
LIT-034;LIT-081,P7,fuscc-deep-path,sc_MTOP,https://github.com/fuscc-deep-path/sc_MTOP,✅可访问,200,A,已克隆,33ff31fbd01f37705118244da0a8df96a4f19014,,MIT,Pythonx47/Shellx2,0.4,,批次5复核P8->P7(HoVer-Net WSI核分割+形态特征框架)
LIT-035,P8,Goldrathlab,Spatial-TRM-paper,https://github.com/Goldrathlab/Spatial-TRM-paper,✅可访问,200,S,已克隆,ccd50e1cafb8ac86d3daa2a9b1194b81d04c0b56,,MIT,Pythonx195/Rx1,117.4,,
LIT-036,P8,LabOnoM,GSE284271,https://github.com/LabOnoM/GSE284271,✅可访问,200,A,已克隆,0c3f52aefe09779fb20aa4cfba77b02bb9858440,,BSD,Rx1/Pythonx1,1.2,,
LIT-038,P8,VividKai,SpatialBC,https://github.com/VividKai/SpatialBC,✅可访问,200,B,已克隆,f854197edb9730a9fc215ce1022a44474446f99c,,无LICENSE(仅可学习不可转载),Rx7,0.2,,
LIT-039,P0,atlasxomics,ATX_epigenomics,https://github.com/atlasxomics/ATX_epigenomics,✅可访问,200,B,已克隆,843b75443eafe7478efae22e0ff3d95f1757d8f9,,MIT,Rx3,14.0,,"档案卡批次2建议P2->P0(DBiT-seq平台管线+renv教程),终审可推翻"
LIT-040,P8,jason-spence-lab,Johnson_et_al_2025,https://github.com/jason-spence-lab/Johnson_et_al_2025,✅可访问,200,B,已克隆,1ec9966c0514f1b9b2076b3ec28c668fd2ea70d2,,无LICENSE(仅可学习不可转载),Rx1,0.1,,
LIT-041,P8,JiekaiLab,mdCLA,https://github.com/JiekaiLab/mdCLA,✅可访问,200,A,已克隆,bfa8eb72a163b98abc32e641a657764fa33a394b,,无LICENSE(仅可学习不可转载),Pythonx109,276.9,,
LIT-043,P8,mneyazi,cardiac_sarcoidosis,https://github.com/mneyazi/cardiac_sarcoidosis,✅可访问,200,B,已克隆,173fd608ecc1074990e8cb4104345005e7b90e66,,无LICENSE(仅可学习不可转载),Rx3,0.0,,
LIT-045,P8,FilbinLab,Multidimensional_STEPN,https://github.com/FilbinLab/Multidimensional_STEPN,✅可访问,200,A,已克隆,72650ca32d106fcbba0bf303a7b0720925a27dee,,MIT,Rx108/Pythonx6/Shellx3,87.3,,
LIT-046,P8,navinlabcode,tnbc-chemo,https://github.com/navinlabcode/tnbc-chemo,✅可访问,200,S,已克隆,fbe1dd3b1db05dd5e9f02485a45fdd438d6af9fb,,无LICENSE(仅可学习不可转载),Rx72/Pythonx1,379.0,,批次5建议升S(20份md操作手册+主题脚本双轨模式)
LIT-047,P2,digitalcytometry,spatialecotyper,https://github.com/digitalcytometry/spatialecotyper,✅可访问,200,S,已克隆,57d37cd2c31c2b0743a7d50e036c4d4a50b61eee,,自定义LICENSE(需人工核),Rx42,114.6,,
LIT-048,P8,Woopsydaisy,Spatial-Human-Kidney-Map,https://github.com/Woopsydaisy/Spatial-Human-Kidney-Map,✅可访问,200,S,已克隆,8ddde5d6ed285c5c742a733d3cd9f251e554b758,,无LICENSE(仅可学习不可转载),Pythonx57/Rx1,0.5,,档案卡批次4建议升S(niche方法全家桶+工程清晰)
LIT-052,P3,XL-Genomics,2024_Senescent_Niche_in_HLHS,https://github.com/XL-Genomics/2024_Senescent_Niche_in_HLHS,✅可访问,200,A,已克隆,353a7d60c20d84feab3647753e174a5993f9778c,,无LICENSE(仅可学习不可转载),Rx18/Pythonx3,32.5,,
LIT-053,P8,UCSF-DSCOLAB,spatial_transcriptomics_colitis_analysis_2024,https://github.com/UCSF-DSCOLAB/spatial_transcriptomics_colitis_analysis_2024,✅可访问,200,S,已克隆,ef610b37ed40f37a6549465e33cb95ac706b34d1,,无LICENSE(仅可学习不可转载),Pythonx14/Rx3/Shellx1,18.2,,
LIT-054,P8,cnio-bu,varca,https://github.com/cnio-bu/varca,✅可访问,200,A,已克隆,0e6577f98655d10b9032aee33ee90adf5129172a,,MIT,Pythonx2,4.3,,
LIT-057,P8,cy358,Single-cell-profiling-of-NKTCL,https://github.com/cy358/Single-cell-profiling-of-NKTCL,✅可访问,200,A,已克隆,359f85c5465acf75b0c650804e41caab12b3a5fe,,MIT,Pythonx1,0.0,,
LIT-060,P8,xhNorthwestern,Spatial-biology-of-hematopoiesis,https://github.com/xhNorthwestern/Spatial-biology-of-hematopoiesis,✅可访问,200,B,已克隆,ce5ab17641211505c12c97da6f0b779006d73f5b,,无LICENSE(仅可学习不可转载),Rx43,0.6,,
LIT-061,P8,ktakehara,Prostate_TRM,https://github.com/ktakehara/Prostate_TRM,✅可访问,200,A,已克隆,2b5c7221d887c3233a1f6a3c24956c81af9c97b6,,无LICENSE(仅可学习不可转载),Pythonx27/Rx2,25.6,,
LIT-066,P2,Teichlab,crohns-fibroblast-atlas,https://github.com/Teichlab/crohns-fibroblast-atlas,✅可访问,200,S,已克隆,96e481451695a7380c2b84f26ac60149210dcc7b,,MIT,Pythonx87/Rx18/Shellx8,858.0,,
LIT-067,P8,dwilliamsLab,gingiva-2025,https://github.com/dwilliamsLab/gingiva-2025,✅可访问,200,A,已克隆,860a0e8afd32874826a965e9fdc98afe5e4a9783,,MIT,Rx16/Pythonx13,23.1,,
LIT-069,P8,SaulerLab,COPD_snRNA-seq,https://github.com/SaulerLab/COPD_snRNA-seq,✅可访问,200,A,已克隆,b08ed795d162635425ca07f35169adc3766e9e96,,MIT,Rx11/Shellx1,0.1,,
LIT-070,P8,SizunJiangLab,IN-DEPTH,https://github.com/SizunJiangLab/IN-DEPTH,✅可访问,200,A,已克隆(部分checkout),c989db566252b4692ed7523ed05c644ca5ab64ee,,MIT,Rx60/Pythonx43,114.8,,尾随空格目录名(4_GeoMX functional analysis for Tonsil )Windows无法创建，sparse/pathspec跳过，未检出约10个GeoMx脚本
LIT-071,P6,estorrs,3d-analysis,https://github.com/estorrs/3d-analysis,✅可访问,200,S,已克隆,14f04c1b787991898380305702c31d52c19fa694,,MIT,Pythonx17/Shellx1/Rx1,24.5,,
LIT-072,P2,icbi-lab,crc-atlas,https://github.com/icbi-lab/crc-atlas,✅可访问,200,S,已克隆,82c15ecc2ea36baa0c4cffe8818bf58e21dcfc48,,BSD,Pythonx107/Rx13/Shellx2,46.7,,
LIT-072,P8,icbi-lab,shears,https://github.com/icbi-lab/shears,✅可访问,200,A,已克隆,a4fcfc9c7e9a71b5de7f1701c2c5a95b5361cea2,,BSD,Pythonx11,6.2,,
LIT-074,P8,yliuup,CRC_micromets_ST,https://github.com/yliuup/CRC_micromets_ST,✅可访问,200,A,已克隆,b6c40903eeda67d812712f2bb77064041db38e6c,,无LICENSE(仅可学习不可转载),Rx20/Pythonx3/Shellx1,8.6,,
LIT-075,P8,jwangbio,spatial-brain-vasc,https://github.com/jwangbio/spatial-brain-vasc,✅可访问,200,B,已克隆,56002c0c3b86fd3567d416bffe3bc618008d4bec,,无LICENSE(仅可学习不可转载),Rx3,0.0,,
LIT-077,P8,XinLi-0419,XeniumSpatialMacrophage,https://github.com/XinLi-0419/XeniumSpatialMacrophage,✅可访问,200,B,已克隆,b67288e5441ffb479ff32ee32de88693e455f9a2,,无LICENSE(仅可学习不可转载),Rx1,0.0,,subset转录本坐标小函数可直接移植工具箱
LIT-078,P3,dpeerlab,p53-niche-dynamics,https://github.com/dpeerlab/p53-niche-dynamics,✅可访问,200,S,已克隆,a97d1a42cede4c12416875a4aa50d3d63ee1fffd,,MIT,Pythonx76/Rx14/Shellx4,349.4,,
LIT-078,P0,hisplan,sharp,https://github.com/hisplan/sharp,✅可访问,200,S,已克隆,68e7268744f886b1df4cd4ce5c76355d913fb581,,MIT,Shellx36/Pythonx27/Rx2,83.9,,批次5复核P8->P0(SCING WDL/Cromwell样本解混管线)
LIT-079,P7,DFCI-CODEX-group,CODEX-custom-pipeline,https://github.com/DFCI-CODEX-group/CODEX-custom-pipeline,✅可访问,200,A,已克隆,65a8b3e4a7f93b01b776c1acd8980c9584f3e6b2,,无LICENSE(仅可学习不可转载),Pythonx5,0.7,,
LIT-079,P8,maximemeylan,GBM_CAN3110,https://github.com/maximemeylan/GBM_CAN3110,✅可访问,200,B,已克隆,0f092d65e13ae6e5be4236aa8e473699712d2607,,MIT,Rx20,3.3,,
LIT-081,P1,Lion-shine,Segment-Membranes-and-Nuclei-from-Histopathological-Images-via-Nuclei-Point-level-Supervision,https://github.com/Lion-shine/Segment-Membranes-and-Nuclei-from-Histopathological-Images-via-Nuclei-Point-level-Supervision,✅可访问,200,A,已克隆,0c507a4701207037c9d76bad6a262eff6d8add96,,无LICENSE(仅可学习不可转载),Pythonx28/Shellx2,7.4,,
LIT-081,P1,vqdang,hover_net,https://github.com/vqdang/hover_net,✅可访问,200,S,已克隆,67e2ce5e3f1a64a2ece77ad1c24233653a9e0901,,MIT,Pythonx42/Shellx2,51.9,,
LIT-082,P2,Loci-lab,Oral-Craniofacial-Atlas,https://github.com/Loci-lab/Oral-Craniofacial-Atlas,✅可访问,200,A,已克隆,e9e3866dfa3a5e0fa2ff9ff8508236c1b8c692ab,,无LICENSE(仅可学习不可转载),Pythonx11/Rx8,2.8,,
LIT-084;LIT-090,P0,zenglab-pku,SPATCH,https://github.com/zenglab-pku/SPATCH,✅可访问,200,S,已克隆,c20108f60660b86bc2740607d84fd825beaaceca,,无LICENSE(仅可学习不可转载),Pythonx9/Rx2,0.1,,批次1复核P3->P0(亚细胞平台基准为主旨)
LIT-085,P0,YOU-k,cadasSTre,https://github.com/YOU-k/cadasSTre,✅可访问,200,A,已克隆,73cb180bf757385f502318c8bbc692e5082397cd,,无LICENSE(仅可学习不可转载),Pythonx8/Rx3/Shellx1,0.7,,档案卡批次4建议P8->P0(测序式ST平台BAM级预处理评测)
LIT-086,P0,broadinstitute,ist_benchmarking,https://github.com/broadinstitute/ist_benchmarking,✅可访问,200,S,已克隆,abb4acc39c68b16fdaf6909f1639947a55173182,,无LICENSE(仅可学习不可转载),Pythonx19,14.7,,
LIT-087,P3,WuLabMDA,CoCo-ST,https://github.com/WuLabMDA/CoCo-ST,✅可访问,200,B,已克隆,7c65930fb2558573a89267c6db968df72ac53bfd,,MIT,Rx7,4.7,,档案卡批次2复核P8->P3(前景/背景拉普拉斯对比空间域方法)
LIT-088,P0,Moldia,Xenium_benchmarking,https://github.com/Moldia/Xenium_benchmarking,✅可访问,200,S,已克隆,50249f7d03d9cfc1453c4b81ef3b1053c4d23052,,无LICENSE(仅可学习不可转载),Pythonx158/Rx10/Shellx1,1021.4,,
LIT-088,P0,QuKunLab,SpatialBenchmarking,https://github.com/QuKunLab/SpatialBenchmarking,✅可访问,200,S,已克隆,3586b9d81c479f939aa40adedfe1c95c5b496bcb,,BSD,Pythonx29/Rx8/Shellx2,111.2,,"LIT-088映射存疑:README自引Li et al.2022整合基准文,待人工核验"
LIT-089,P0,KChen-lab,ST_Comparison,https://github.com/KChen-lab/ST_Comparison,✅可访问,200,S,已克隆,e3a3256875cbf210b2090051de73d3bcbc730723,,MIT,Rx28,4.6,,
